,initial position of a,initial position of b,initial position of c,initial velocity of a,initial velocity of b,initial velocity of c,mass of a,mass of b,mass of c,final position of a,final position of b,final position of c,final velocity of a,final velocity of b,final velocity of c
43,3.5360526551763947,0.27163585832483184,3.7983153922213275,0.7302376382753013,-0.4842252523410564,0.6736931366360819,14774569693.646185,28490174668.84719,44577772838.38413,6.79490966304706,3.6254151053210095,6.637225236769232,-1.8622316751586676,1.2217241010996125,0.44263232202101666
44,0.5467160697135687,4.246124608322827,1.0978002401012998,-0.03840926118245114,0.3356996891938193,-0.19465147838952412,38171735364.377945,28290414646.75206,12679471643.496569,1.2968278427384219,5.005043899663563,1.5335726545259383,0.3830481642492516,0.876721224003894,-2.6705815286477024
45,3.407437638781472,3.3618304379830817,3.693480061301559,-0.6948621444932412,-0.6758022551306757,-0.8714732278981576,38401461015.980354,34739511411.605774,22619259308.20508,-3.924102565273139,-3.8776122273150437,-3.631775271673236,-0.20429437935975533,-0.2259433156738865,-2.3952365925473114
46,1.2086873564944345,1.9052648351758288,2.493499757281467,-0.04157888115556152,0.6715400545556434,-0.9023723091531193,10210464431.23759,49637227263.364494,28954072776.60683,2.821171810704989,2.9659476173635886,2.4486481599057726,-4.8715758066024675,0.020782267489057805,1.9165169231152361
47,4.397019454305131,0.8713540509942436,0.6269541707350607,0.7680344276873619,0.10334273016387385,-0.5781756410500776,40170978957.23352,49240113853.834694,10853832718.682205,6.275282106431076,4.573617356260136,4.211613552242035,1.0617554998203815,0.05097064333138082,-1.4276686937379304
48,0.45988905595056806,2.4657249703635618,3.7076135375617225,-0.3953981365447452,-0.33499783105029124,-0.7548028124351245,26324746326.55851,25224162409.23427,21145515848.491253,-3.4912728813011054,-2.501266163391052,-1.9150147227621617,0.635262626355892,-2.356421935812052,0.37341968898267563
49,0.5768283375912409,2.40288086109782,2.0483634100229713,-0.4472483654623185,-0.4215404727533205,0.3747902323062755,12842738767.394444,19774279209.382923,47058221521.53495,2.697942461356697,2.7353864189193917,2.0857238562100355,2.2962416999101074,-0.2569153836423869,-0.4431171907325593
50,4.461471409874923,1.6085357061861387,2.1844993524792313,0.5119632117067046,0.3598703919393549,-0.32725852952887835,25526369121.030228,22268674472.039623,12534987412.494982,6.463040815382483,4.571702104642137,6.390613061935636,-1.3374399333853453,0.848483229253942,2.5708526470315407
51,3.924992676863755,3.376644686535979,1.9942791877225008,-0.25634275567009146,0.42071576155667034,-0.6903683396237723,22623560026.30581,26520768746.292202,39206194466.51857,-6.7295042528650875,2.7155804486933546,3.052546291021034,-0.6258406408028314,1.6056985913216355,-1.278726845888124
52,4.549284742386607,4.179863728156678,1.1129878469651993,0.027003034306831708,0.9971141877357137,0.560680284345255,34330478806.47569,30366479224.296127,34937753036.66055,10.548416009683216,10.78656702581604,4.014504419478347,1.8133796164404605,-0.6907527586920269,0.27237935037628425
53,3.1225485678562888,2.9197118874348096,2.174296427066276,-0.1019356090814092,-0.0352324513281852,-0.04293514964582745,16381014147.300678,15850251671.480816,28174160148.607174,2.550576337452486,2.2540947414891614,1.6610796349031138,0.2660111842388012,0.2342875443080963,-0.4084935667854409
54,1.978789734517955,0.7332203360181588,4.386460464820218,-0.3940655517557974,-0.23900910643023843,0.8729118158686984,22546785006.0028,28402251603.627174,15047824624.778276,1.195049960908487,0.05408707752565975,5.15606569514356,0.5232939933887549,-0.22128359647012436,-0.535062649515571
55,4.097606628464086,2.176619366404612,1.7727994744954878,0.04859869250825888,0.399862071427288,0.1283429486663692,30840475031.02295,48004785078.48592,37490285776.576706,2.963712939556529,5.361318662946473,5.430977739777115,-1.2117469330140933,2.527412035110401,-1.5591054035009317
56,1.9598023296312523,0.7773679616216583,2.8685234342125554,0.8262218464718223,0.5459787393546818,0.2544785670880614,43556110625.958755,42552874573.00496,24644479192.058052,9.75500521852528,6.30754898391186,6.117155621581299,1.009702564857259,1.6880050450709725,-2.0417033961395674
57,1.1321380448751839,1.2214390778629687,3.4166598222259417,-0.5849404437497703,-0.34299770214780856,0.30568518730709116,29046306052.50032,12488219758.716555,19406237578.035755,-1.2363040559577683,-1.1703072615921148,0.5952599297694121,-0.43362212571700814,-1.1259319946947333,0.5830298968825481
58,1.5942596664796926,1.286317534201492,1.362635959911524,-0.5994170235528493,0.15466204899159997,-0.6869751182648101,39228235462.783264,39621879798.24227,31767859268.33069,-2.1216223806025187,-1.9862516610980434,-2.30979153573083,-1.5712000267909938,0.5708752162545296,-0.006092462517742176
59,0.3823934004299978,2.010525647712431,2.7078090581147887,0.4317428421583742,-0.5994401004804717,0.48263574608033655,49539123777.421585,36174437503.76453,42398429997.45299,3.2639803436670816,2.1275056589883548,3.9975864635634752,1.0109309505941293,0.9615187853668665,-1.5259122369784204
60,0.9830391555884754,4.251631532618612,0.4118448597863672,-0.290471500128888,-0.6046472481218996,-0.9031758230523805,21430117012.802765,22361576609.0985,42498529217.16665,-6.6651311741609165,-2.0075711512230114,-6.116067063182148,-0.06348803313324593,-0.7436654271412424,-0.9444858784784802
61,2.6165190440133395,3.2998082855230875,0.7193431981094056,0.20291582052921986,0.5077341781103608,0.8775737550327314,39220200455.622505,14286371688.905897,17418187505.26464,6.372456720563857,6.237696077246409,7.3617013660771695,-0.10507774573520902,4.129672385724231,-1.3996313817416308
62,1.5995700003834017,2.9984122666276027,4.16697981021331,-0.07930034092685423,0.4292541924489077,0.32211317525843186,19772808173.747955,39606106359.73764,38875045044.8082,4.6108198720254245,8.022664579511313,4.707703868993415,2.7278903448373657,0.7514629362471545,-1.4339613613748223
63,0.3109705129710255,0.24419421663097463,1.0374733256427426,-0.4671383837027052,0.41827968011489847,-0.9787425236937883,48478858630.52455,10288988754.635708,37432733218.79522,-4.805661378819284,-5.008231997184385,-5.579891624560843,-0.4604814005750799,-1.0495660339067157,-0.5839029319715446
